natomedium_desc;북대서양 조약기구의 방위비에 대한 불화는 동맹의 역사만큼이나 오래됐습니다. 동맹국 방어에 대한 미국의 약속과 조약기구에 대한 유럽의 기여 사이의 근본적인 협상은 많은 다른 변수들을 이용해 측정할 수 있습니다. 국내총생산의 고정비율을 방위비로 지출하는 것은 환대서양 협정의 조잡한 지표에 불과합니다. 엎친 데 덮친 격으로 기여도를 측정하는 방법론은 종종 각각의 회원국이 실현하고자 하는 정치적 야망의 차이를 난해하게끔 합니다. 간단히 말해서, 유럽 국가들은 자신들의 정책 선호도가 수렴할 때문 미국과 동맹을 맺기를 원합니다.;Transatlantic disagreement on how to split NATO뭩 bills is as old as the Alliance itself. The fundamental bargain between US commitment to defending its allies and  European contributions to NATO can be measured on the basis of many different parameters. Spending a fixed share of gross domestic product on defense constitutes only a crude indicator of transatlantic commitment. To make matters worse, methodological nuances in measuring contributions often serve to obfuscate differences in political ambitions  that nations seek to realise through their NATO membership. Put simply, European nations want to be allied with the United States when their policy preferences converge.;;;;;;;;x
natolow_desc;북대서양 조약기구의 방위비에 대한 불화는 동맹의 역사만큼이나 오래됐습니다. 동맹국 방어에 대한 미국의 약속과 조약기구에 대한 유럽의 기여 사이의 근본적인 협상은 많은 다른 변수들을 이용해 측정할 수 있습니다. 국내총생산의 고정비율을 방위비로 지출하는 것은 환대서양 협정의 조잡한 지표에 불과합니다. 엎친 데 덮친 격으로 기여도를 측정하는 방법론은 종종 각각의 회원국이 실현하고자 하는 정치적 야망의 차이를 난해하게끔 합니다. 간단히 말해서, 유럽 국가들은 자신들의 정책 선호도가 수렴할 때문 미국과 동맹을 맺기를 원합니다.;Transatlantic disagreement on how to split NATO뭩 bills is as old as the Alliance itself. The fundamental bargain between US commitment to defending its allies and  European contributions to NATO can be measured on the basis of many different parameters. Spending a fixed share of gross domestic product on defense constitutes only a crude indicator of transatlantic commitment. To make matters worse, methodological nuances in measuring contributions often serve to obfuscate differences in political ambitions  that nations seek to realise through their NATO membership. Put simply, European nations want to be allied with the United States when their policy preferences converge.;;;;;;;;x
natohigh_gp;북대서양 조약기구 방위비 - 미국만 부담;NATO - US bears the burden;;;;;;;;x
natomedium_gp;북대서양 조약기구 방위비 - 회원국들과 미국이 부담;NATO - Members & US bear the burden;;;;;;;;x
natolow_gp;북대서양 조약기구 방위비 - 미국을 제외한 회원국들만 부담;NATO - Other members bear the burden;;;;;;;;x
natohigh;북대서양 조약기구 방위비 - 미국만 부담;NATO - US bears the burden;;;;;;;;x
natomedium;북대서양 조약기구 방위비 - 외원국들과 미국이 부담;NATO - Members & US bear the burden;;;;;;;;x
natolow;북대서양 조약기구 방위비 - 미국을 제외한 회원국들만 부담;NATO - Members except US bear the burden;;;;;;;;x
family_values1;베이비 붐;Baby Boom;;;;;;;;x
oil_high_title;석유수출국기구 한도를 초과한 원유생산 실시;Direct crude oil production in our nation to exceed OPEC quotas;;;;;;;;x
oil_high_desc;석유수출국기구 원유생산한도를 초과하면 원유가 포화상태가 돼 유가를 하락시킵니다.;Exceeding OPEC quotas for crude oil production can cause oil saturation in the markets which may in turn drive down the price of oil.;;;;;;;;x
oil_medium_title;석유수출국기구 한도를 충족한 원유생산 실시;Direct crude oil production in our nation to meet OPEC quotas;;;;;;;;x
oil_medium_desc;석유수출국기구 원유생산한도를 충족하면 시장에서 원유 포화 및 부족 현상을 예방할 수 있으며, 유가를 안정화합니다.;Meeting OPEC quotas for crude oil production can prevent oil saturation or shortage in the markets which may in turn keep the price of oil stable.;;;;;;;;x
oil_low_title;석유수출국기구 한도를 불충족한 원유생산 실시;Direct crude oil production in our nation to fall short of OPEC quotas;;;;;;;;x
oil_low_desc;석유수출국기구 원유생산한도를 충족하면 불충족하면 유가와 소비자가격을 상승시키며 시장의 석유 부족 현상을 야기합니다.;Falling short of OPEC quotas for crude oil production can cause oil shortages in the markets which may in turn drive up the price of oil and inflate consumer prices.;;;;;;;;x
oil_reset_title;석유수출국기구 한도에 관한 원유생산량 변경;Change crude oil production in our nation with respect to the OPEC quotas;;;;;;;;x
oil_reset_desc;석유생산량을 석유수출국기구가 아닌 우리의 필요에 맞게 바꿔야 합니다.;Perhaps it is time we change our oil production to better suit our needs than that of OPEC?;;;;;;;;x
oil_high;석유수출국기구 한도를 초과한 원유생산;Production of Crude Oil exceeding OPEC quota;;;;;;;;x
oil_medium;석유수출국기구 한도를 충족한 원유생산;Production of Crude Oil meeting OPEC quota;;;;;;;;x
oil_low;석유수출국기구 한도를 불충족한 원유생산;Production of Crude Oil less than OPEC quota;;;;;;;;x
oil_crisis_chaos;석유파동 혼돈;Oil Crisis Chaos;;;;;;;;x
oil_crisis;석유수출국기구의 조치로 인한 석유 생산량 감소;Reduction of oil output from OPEC action;;;;;;;;x
opec_oil_crisis_title;석유수출국기구를 통해 석유파동 개시;Initiate an Oil Crisis via the Organisation of Petroleum Exporting Countries (OPEC);;;;;;;;x
opec_oil_crisis_desc;해당 결정을 시행하면 모든 석유수출국기구 회원국들의 석유 생산량이 현저히 감소해 국제적인 석유 수요가 증가하고, 이에따라 유가가 상승합니다. 이는 석유로 인한 수입을 증가시킬 뿐 아니라 에너지 가격을 상승시켜 인플레이션을 야기할 것이며, 다른 제품의 제조비용을 상승시키고 공장 수익성을 하락시킬 것입니다.;Commencing this decision will dramatically reduce the oil output of all OPEC members which will in turn drive up international oil demand causing prices for oil to increase. This will not only increase our country's earnings from oil but also cause inflation as energy prices will rise which will then cause manufacturing costs for other products to rise as well causing factory unprofitability.;;;;;;;;x
anschluss_ger_title;오스트리아 합병;Anschluss with Austria;;;;;;;;x
anschluss_ger_desc;안슐루스(Anschluss)는 독일어로 '결합', '합병'을 뜻합니다. 이와는 대조적으로 (흔하지는 않지만) 군사적 합병을 뜻하는 아네크티룽(Annektierung)도 1938년 오스트리아와 합병을 묘사하는데 쓰입니다. 오스트리아 합병을 1938년 이전에 안슐루스로 널리 퍼졌었는데, 이는 독일이 강요하지 않았다는 인상을 주기 위해 사용한 선전의 일부입니다. 한편 히틀러는 오스트리아 합병을 하임케르(Heimkehr, 귀향)으로 묘사했습니다. 안슐루스라는 단어는 일어난 일에 대한 완곡한 표현임에도 불구하고 1938년 이래로 쭉 쓰여왔습니다.;The word Anschluss is properly translated as "joinder," "connection," "unification," or "political union." In contrast, the German word Annektierung (military annexation) was not, and is not commonly used now, to describe the union of Austria and Germany in 1938. The word Anschluss had been widespread before 1938 describing an incorporation of Austria into Germany. Calling the incorporation of Austria into Germany an "Anschluss," that is a "unification" or "joinder," was also part of the propaganda used in 1938 by Germany to create the impression that the union was not coerced. Hitler described the incorporation of Austria as a Heimkehr, a return to its original home. The word Anschluss has endured since 1938, despite being a euphemism for what took place.;;;;;;;;x
anschluss_aus_title;오스트리아 합병;Anschluss with Austria;;;;;;;;x
anschluss_aus_desc;안슐루스(Anschluss)는 독일어로 '결합', '합병'을 뜻합니다. 이와는 대조적으로 (흔하지는 않지만) 군사적 합병을 뜻하는 아네크티룽(Annektierung)도 1938년 오스트리아와 합병을 묘사하는데 쓰입니다. 오스트리아 합병을 1938년 이전에 안슐루스로 널리 퍼졌었는데, 이는 독일이 강요하지 않았다는 인상을 주기 위해 사용한 선전의 일부입니다. 한편 히틀러는 오스트리아 합병을 하임케르(Heimkehr, 귀향)으로 묘사했습니다. 안슐루스라는 단어는 일어난 일에 대한 완곡한 표현임에도 불구하고 1938년 이래로 쭉 쓰여왔습니다.;The word Anschluss is properly translated as "joinder," "connection," "unification," or "political union." In contrast, the German word Annektierung (military annexation) was not, and is not commonly used now, to describe the union of Austria and Germany in 1938. The word Anschluss had been widespread before 1938 describing an incorporation of Austria into Germany. Calling the incorporation of Austria into Germany an "Anschluss," that is a "unification" or "joinder," was also part of the propaganda used in 1938 by Germany to create the impression that the union was not coerced. Hitler described the incorporation of Austria as a Heimkehr, a return to its original home. The word Anschluss has endured since 1938, despite being a euphemism for what took place.;;;;;;;;x
return_of_austrian_lands_title;오스트리아 영토 반환 요구;Demand the return of Austria's lands;;;;;;;;x
return_of_austrian_lands_desc;제2차 세계대전과 나치 독일의 몰락 이후 범게르만주의는 불명예에 빠졌으며, 대다수의 독일인들은 해당 사상을 금기시합니다. 20세기 초반 독일과 달리 오스트리아의 정체성이 없었던 것과는 달리, 1987년에는 오스트리아인의 6%만이 자신들을 '독일인'으로 지목했습니다. 오늘날에는 90% 이상의 오스트리아인들이 자신을 오스트리아인으로 여깁니다. 오스트리아인 국가의 존재는 더이상 의문의 여지가 없습니다.;After World War II and the fall of the Third Reich the political ideology of Pan-Germanism fell into disfavor and is now seen by the majority of German speaking people as taboo. Unlike earlier in the 20th century when there was no Austrian identity separate from a German one, in 1987 only 6 percent of the Austrians identified themselves as "Germans." Today over 90 percent of the Austrians see themselves as their own nationality. The existence of an Austrian state is no longer questioned as it was in the inter-war period.;;;;;;;;x
un_sanctions;국제연합 제재 직면;Facing UN Sanctions;;;;;;;;x
jointheida_title;국제개발협회 가입;Join the International Development Association;;;;;;;;x
jointheida_desc;국제개발협회는 국민총소득과 1인당 국민소득이 가장 낮은 개발도상국에 차관과 보조금을 제공하는 국제금융기관입니다. 해당 협회는 세계은행군의 회원이며 미국 워싱턴 D.C.에 본부를 둡니다. 1960년 기존 국제부흥개발은행을 보완하기 위해 설립했으며, 국제개발협회와 국제재건개발은행은 같은 지도부를 따르고 같은 직원이 운영하므로 일반적으로 세계은행이라고 불립니다.;The International Development Association (IDA) is an international financial institution which offers concessional loans and grants to the world's poorest developing countries. The IDA is a member of the World Bank Group and is headquartered in Washington, D.C., United States. It was established in 1960 to complement the existing International Bank for Reconstruction and Development by lending to developing countries which suffer from the lowest gross national income, from troubled creditworthiness, or from the lowest per capita income. Together, the International Development Association and International Bank for Reconstruction and Development are collectively generally known as the World Bank, as they follow the same executive leadership and operate with the same staff.;;;;;;;;x
leavetheida_title;국제개발협회 탈퇴;Leave the International Development Association;;;;;;;;x
leavetheida_desc;국제개발협회는 국민총소득과 1인당 국민소득이 가장 낮은 개발도상국에 차관과 보조금을 제공하는 국제금융기관입니다. 해당 협회는 세계은행군의 회원이며 미국 워싱턴 D.C.에 본부를 둡니다. 1960년 기존 국제부흥개발은행을 보완하기 위해 설립했으며, 국제개발협회와 국제재건개발은행은 같은 지도부를 따르고 같은 직원이 운영하므로 일반적으로 세계은행이라고 불립니다.;The International Development Association (IDA) is an international financial institution which offers concessional loans and grants to the world's poorest developing countries. The IDA is a member of the World Bank Group and is headquartered in Washington, D.C., United States. It was established in 1960 to complement the existing International Bank for Reconstruction and Development by lending to developing countries which suffer from the lowest gross national income, from troubled creditworthiness, or from the lowest per capita income. Together, the International Development Association and International Bank for Reconstruction and Development are collectively generally known as the World Bank, as they follow the same executive leadership and operate with the same staff.;;;;;;;;x
ida_member;국제개발협회 회원국;Member of the International Development Association;;;;;;;;x
ida_loan;국제개발협회 차관 도입;International Development Association Loan;;;;;;;;x
ida_loan_title;국제개발협회 차관 요청;Request an International Development Association Loan;;;;;;;;x
ida_loan_desc;국제개발협회는 사회기본시설 개발, 교육, 의료, 깨끗한 물 및 위생 시설에 대한 접근, 환경 책임 등을 개선하는 계획의 자금을 조달하기 위해 국가에 차관을 제공합니다. 세계은행은 부드러운 창구로, 국제부흥개발은행은 딱딱한 창구로 꼽힙니다. 협회는 대출자가 혼합국가인지, 어느 정도 자격이 되는지 등에 따라 25-40년 만기, 510년 유예기간, 이자율 2.8% 또는 1.25%의 보조금과 차관을 제공합니다. 정기적인 적격대출자는 무이자로 차관을 도입할 수 있습니다.;The IDA lends to countries with the aim to finance projects that will develop infrastructure and improve education, healthcare, access to clean water and sanitation facilities, and environmental responsibility. It is considered to be the soft lending window of the World Bank, while the IBRD is considered to be the hard lending window. The association offers grants and loans with maturities ranging from 25 to 40 years, grace periods of 5 to 10 years, and interest rates of 2.8% or 1.25% depending on whether the borrower is a blend country and to which degree it is eligible. Regular IDA-eligible borrowers may take advantage of no-interest loans.;;;;;;;;x
end_of_bretton_system_title;브레튼우드체제 해체;End the Bretton Woods System;;;;;;;;x
end_of_bretton_system_desc;1968년에 이르면서 아이젠하워, 케네디, 존슨 정부의 정책인 '1온스당 35달러 고정'을 방어하려는 시도는 점점 더 억제하기 힘들어졌습니다. 금 보유에 대해 독일과 다른 나라들의 보장을 얻었음에도 미국의 금 유출은 가속화됐고, 1960년대 존슨 행정부의 불균형적인 재정 지출은 1940-50년대의 달러 부족 현상을 달러 과잉 현상으로 바꾸었습니다. 1967년 국제통화기금은 히우지자네이루에서 1946년에 세운 분할발행을 특별인출권으로 대체하기로 합의했습니다. 특별인출권은 미국 달러 1달러와 동일하게 설정했지만 은행과 국제통화기금 사이의 거래에서는 사용할 수 없었습니다. 원래 금리는 1.5%였으나 각 국가는 특별인출권 보유에 따라 각 국가에 이자를 부과하거나 인정할 것입니다. 특별인출권체계의 목적은 국가들이 금괴를 사들인 후 비싸게 매매하는 행위를 방지하는 동시에 달러화의 보유가능한도를 정해 국가들에게 달러를 보유할 이유를 부여하기 위함입니다.;By 1968, the attempt to defend the dollar at a fixed peg of $35 per Ounce, the policy of the Eisenhower, Kennedy and Johnson administrations, had become increasingly untenable. Gold outflows from the US accelerated, and despite gaining assurances from Germany and other nations to hold gold, the unbalanced fiscal spending of the Johnson administration had transformed the dollar shortage of the 1940s and 1950s into a dollar glut by the 1960s. In 1967, the IMF agreed in Rio de Janeiro to replace the tranche division set up in 1946. Special drawing rights (SDRs) were set as equal to one U.S. dollar, but were not usable for transactions other than between banks and the IMF. Nations were required to accept holding SDRs equal to three times their allotment, and interest would be charged, or credited, to each nation based on their SDR holding. The original interest rate was 1.5%. The intent of the SDR system was to prevent nations from buying pegged gold and selling it at the higher free market price, and give nations a reason to hold dollars by crediting interest, at the same time setting a clear limit to the amount of dollars that could be held.;;;;;;;;x
bretton_woods_effect;브레튼우드체제;Bretton Woods System;;;;;;;;x
bretton_woods_effect_desc;1온스를 35달러로 고정하는 행위가 신용창출률을 크게 저해합니다.;1 Troy Ounce of Gold is Pegged to $35 US Dollars greatly hindering the rate of credit creation.;;;;;;;;x
war_on_terror_desc;테러와의 전쟁은 9.11 이후 미국의 국제 군사작전을 지칭하는 비유입니다.;The War on Terror (WoT), also known as the Global War on Terrorism (GWOT), is a metaphor of war referring to the international military campaign that started after the September 11 attacks on the United States.;;;;;;;;x
overlord_loan_requested;최근 지정학적 종주국 차관 요청;Recently Requested Loan From Our Geopolitical Masters;;;;;;;;x
imf_loan_requested;최근 국제통화기금 차관 요청;Recently Requested Loan From The International Monetary Fund;;;;;;;;x
foreign_loan_requested;최근 채권국 차관 요청;Recently Requested Loan From Creditor Nations;;;;;;;;x
imf_loan;국제통화기금 차관 도입;Receiving International Monetary Fund Loan;;;;;;;;x
imf_loan_desc;회원국이 실제 국제수지(예: 수입, 대외채무 상환)를 충족할 자금이 잠재적으로 부족한 경우 국제통화기금에 재정 지원을 요청할 수 있습니다. 국제통화기금은 국제수지 균형에 대한 문제를 해결하고 강력한 경제성장 조건을 회복하도록 정책을 조정하고 개혁을 완화하는 대비책을 제공합니다.;A member country may request IMF financial assistance if it has an actual or potential balance of payments need뾲hat is, if it lacks or potentially lacks sufficient financing on affordable terms to meet its net international payments (e.g., imports, external debt redemptions) while maintaining adequate reserve buffers going forward. IMF resources provide a cushion that eases the adjustment policies and reforms that a country must make to correct its balance of payments problem and help restore conditions for strong economic growth.;;;;;;;;x 
imf_loan_title;국제통화기금 차관 요청;Request a Foreign Loan from The International Monetary Fund;;;;;;;;x
overlord_loan_title;지정학적 종주국 차관 요청;Request a Foreign Loan from our Geopolitical Masters;;;;;;;;x
foreign_loan_title;채권국 차관 요청;Request a Foreign Loan from Creditor Nations;;;;;;;;x
foreign_loan_desc;외채란 국가가 다른 국가나 기관에게서 도립한 차관입니다. 외채는 국제통화기금 등 국제기구에 대한 지불금, 상품과 서비스에 대한 수수료 또는 무역 적자 인한 미지급액도 포함합니다. 총외채는 단기/장기 외채를 모두 합한 양입니다.;Foreign debt is an outstanding loan that one country owes to another country or institutions within that country. Foreign debt also includes due payments to international organizations such as the International Monetary Fund (IMF). The debt may be comprised of fees for goods and services or outstanding credit due to a negative balance of trade. Total foreign debt can be a combination of short-term and long-term liabilities.;;;;;;;;x
overlord_loan_desc;외채란 국가가 다른 국가나 기관에게서 도립한 차관입니다. 외채는 국제통화기금 등 국제기구에 대한 지불금, 상품과 서비스에 대한 수수료 또는 무역 적자 인한 미지급액도 포함합니다. 총외채는 단기/장기 외채를 모두 합한 양입니다.;Foreign debt is an outstanding loan that one country owes to another country or institutions within that country. Foreign debt also includes due payments to international organizations such as the International Monetary Fund (IMF). The debt may be comprised of fees for goods and services or outstanding credit due to a negative balance of trade. Total foreign debt can be a combination of short-term and long-term liabilities.;;;;;;;;x
EVTDESC1400041;세계는 이제 신냉전시대로 접어들었습니다. 1950년대 이후로 긴장을 완화하기 위한 많은 노력이 이루어졌고, 두 블록이 긴장완화시대에 진입한 것처럼 보였습니다. 하지만 냉전은 종식됐습니다. 이는 여러 요인들이 동시에 작용했기 때문이었습니다. 어떤 요인이 가장 중요했는지를 판단해야 합니다.;The world now has entered the post Cold War era. Many efforts have been made since the 1950s to promote relaxation of tensions and on many occasions in the past it appeared that the two power blocks had entered the period of detente. Gradually, however, the Cold War came to an end. This was due to the operation of several factors acting in tandem however we must decide which was the most important.;;;;;;;;x
mnchigh;호의적인 다국적기업정책;Favourable Multinational Corporations Policies;;;;;;;;x
mncmedium;유화적인 다국적기업정책;Mildly Favourable Multinational Corporations Policies;;;;;;;;x
mnclow;부정적인 다국적기업정책;Unfavourable Multinational Corporations Policies;;;;;;;;x
mnchigh_title;호의적인 다국적기업정책 시행;Enact Favourable Multinational Corporations Policies;;;;;;;;x
mncmedium_title;유화적인 다국적기업정책 시행;Enact Mildly Favourable Multinational Corporations Policies;;;;;;;;x
mnclow_title;부정적인 다국적기업정책 시행;Enact Unfavourable Multinational Corporations Policies;;;;;;;;x
changemnc_title;다국적기업정책 변경;Change Multinational Corporations Policies;;;;;;;;x
mnchigh_desc;다국적기업에게 호의적인 정책을 시행합니다.;Enact Favourable Multinational Corporations Policies;;;;;;;;x
mncmedium_desc;다국적기업에게 유화적인 정책을 시행합니다.;Enact Mildly Favourable Multinational Corporations Policies;;;;;;;;x
mnclow_desc;다국적기업에게 부정적인 정책을 시행합니다.;Enact Unfavourable Multinational Corporations Policies;;;;;;;;x
changemnc_desc;다국적기업은 본국 밖의 여러 국가에 여러 시설 및 자산을 보유한 기업들을 가리키는 용어입니다. 다국적기업들은 국외에도 사무실 및/또는 공장을 가지고 있으며, 대개는 세계적으로 관리하는 중앙집중식 본사를 운영합니다.;A multinational corporation (MNC) has facilities and other assets in at least one country other than its home country. Such companies have offices and/or factories in different countries and usually have a centralized head office where they coordinate global management.;;;;;;;;x
stockcrash;주식시장 하락세 유도;Stock Market Induced Recession;;;;;;;;x
channel_tunnel_construction;영불해협 터널 공사 중;Channel Tunnel construction underway;;;;;;;;x
channel_tunnel;영불해협 터널;Channel Tunnel;;;;;;;;x
channel_tunnel_title;영불해협 터널 건설;Build the Channel Tunnel;;;;;;;;x
channel_tunnel_desc;영불해협 터널은 프랑스 칼레와 영국 포크스톤을 연결하는 50.45km 길이의 철도 터널로, 가장 낮은 지점의 깊이는 75m입니다. 일본 세이칸 터널과 비교하면 세이칸 쪽이 전체적으로 53.85 킬로미터로 더 길지만, 해저 부분은 영불 쪽이 더 깁니다. 터널 내 열차의 최대속도는 시속 160km입니다.;The Channel Tunnel is a 50.45-kilometre (31.35 mi) rail tunnel linking Folkestone, Kent, in the United Kingdom, with Coquelles, Pas-de-Calais, near Calais in northern France, beneath the English Channel at the Strait of Dover. At its lowest point, it is 75 m (250 ft) deep. At 37.9 kilometres (23.5 mi), the tunnel has the longest undersea portion of any tunnel in the world, although the Seikan Tunnel in Japan is both longer overall at 53.85 kilometres (33.46 mi) and deeper at 240 metres (790 ft) below sea level. The speed limit for trains in the tunnel is 160 kilometres per hour (99 mph).;;;;;;;;x
EVTDESC1400040;영불해협 터널은 프랑스 칼레와 영국 포크스톤을 연결하는 50.45km 길이의 철도 터널로, 가장 낮은 지점의 깊이는 75m입니다. 일본 세이칸 터널과 비교하면 세이칸 쪽이 전체적으로 53.85 킬로미터로 더 길지만, 해저 부분은 영불 쪽이 더 깁니다. 터널 내 열차의 최대속도는 시속 160km입니다.;The Channel Tunnel is a 50.45-kilometre (31.35 mi) rail tunnel linking Folkestone, Kent, in the United Kingdom, with Coquelles, Pas-de-Calais, near Calais in northern France, beneath the English Channel at the Strait of Dover. At its lowest point, it is 75 m (250 ft) deep. At 37.9 kilometres (23.5 mi), the tunnel has the longest undersea portion of any tunnel in the world, although the Seikan Tunnel in Japan is both longer overall at 53.85 kilometres (33.46 mi) and deeper at 240 metres (790 ft) below sea level. The speed limit for trains in the tunnel is 160 kilometres per hour (99 mph).;;;;;;;;x
EVTDESC1400039;신보수주의라는 용어는 미국에서 보수로 전향한 반스탈린주의 좌파들을 말합니다. 신보수주의자들은 전형적으로 군사력을 포함한 국제문제에 대한 미국의 국익 증진과 민주주의 증파를 옹호하며, 공산주의와 정치적 급진주의를 경멸하는 것으로 알려져 있습니다. 해당 운동은 미국 유대인위원회가 발행한 유대인 월간지 코멘터리에 지적인 뿌리를 두었습니다. 신좌파에 반대하는 목소리를 내던 그들은 신보수주의적 움직임을 정의하는데 도움을 주었습니다.;The term "neoconservative" refers to those who made the ideological journey from the anti-Stalinist Left to the camp of American conservatism. Neoconservatives typically advocate the promotion of democracy and promotion of American national interest in international affairs, including by means of military force and are known for espousing disdain for communism and for political radicalism. The movement had its intellectual roots in the Jewish monthly review magazine Commentary, published by the American Jewish Committee. They spoke out against the New Left and in that way helped define the movement.;;;;;;;;x
EVTDESC1231437;3대 핵전력은 전략핵무기를 수송수단을 가리키는 용어로 대륙간탄도미사일, 전략폭격기, 잠수함발사탄도미사일을 가리킵니다. 이들의 목적은 적들이 제1격에서 국가의 모든 핵전력을 파괴할 가능성을 크게 줄이려는 것입니다. 이는 다시 제2격(최초의 반격)이라는 믿을 만한 위협을 보장함으로써 핵억제력을 증가시킵니다.;A nuclear triad refers to the nuclear weapons delivery of a strategic nuclear arsenal which consists of three basic components: land-based intercontinental ballistic missiles (ICBMs), strategic bombers, and submarine-launched ballistic missiles (SLBMs). The purpose of having a three-branched nuclear capability is to significantly reduce the possibility that an enemy could destroy all of a nation's nuclear forces in a first-strike attack; this, in turn, ensures a credible threat of a second strike, and thus increases a nation's nuclear deterrence.;;;;;;;;x
EVTDESC1231436;3대 핵전력은 전략핵무기를 수송수단을 가리키는 용어로 대륙간탄도미사일, 전략폭격기, 잠수함발사탄도미사일을 가리킵니다. 이들의 목적은 적들이 제1격에서 국가의 모든 핵전력을 파괴할 가능성을 크게 줄이려는 것입니다. 이는 다시 제2격(최초의 반격)이라는 믿을 만한 위협을 보장함으로써 핵억제력을 증가시킵니다.;A nuclear triad refers to the nuclear weapons delivery of a strategic nuclear arsenal which consists of three basic components: land-based intercontinental ballistic missiles (ICBMs), strategic bombers, and submarine-launched ballistic missiles (SLBMs). The purpose of having a three-branched nuclear capability is to significantly reduce the possibility that an enemy could destroy all of a nation's nuclear forces in a first-strike attack; this, in turn, ensures a credible threat of a second strike, and thus increases a nation's nuclear deterrence.;;;;;;;;x
EVTDESC1231435;3대 핵전력은 전략핵무기를 수송수단을 가리키는 용어로 대륙간탄도미사일, 전략폭격기, 잠수함발사탄도미사일을 가리킵니다. 이들의 목적은 적들이 제1격에서 국가의 모든 핵전력을 파괴할 가능성을 크게 줄이려는 것입니다. 이는 다시 제2격(최초의 반격)이라는 믿을 만한 위협을 보장함으로써 핵억제력을 증가시킵니다.;A nuclear triad refers to the nuclear weapons delivery of a strategic nuclear arsenal which consists of three basic components: land-based intercontinental ballistic missiles (ICBMs), strategic bombers, and submarine-launched ballistic missiles (SLBMs). The purpose of having a three-branched nuclear capability is to significantly reduce the possibility that an enemy could destroy all of a nation's nuclear forces in a first-strike attack; this, in turn, ensures a credible threat of a second strike, and thus increases a nation's nuclear deterrence.;;;;;;;;x
nuke_sanctions;국제연합의 비핵화 제재;Facing sanctions to disarm nuclear weapons;;;;;;;;x
nuke_sanctions_desc;국제연합이 핵무기 계획을 중단하고 모든 핵무기를 포기하도록 강요하기 위해 제재를 가했습니다.;The United Nations has imposed sanctions on us to force us to end our nuclear program and give up all nuclear weapons.;;;;;;;;x
disarm_bomb_title;핵군축 착수;Begin Nuclear Disarmament;;;;;;;;x
disarm_bomb_desc;핵군축은 핵무기를 줄이거나 제거하는 행위, 그리고 핵무기를 세계에서의 완전한 종말시키는 것을 모두 가리킵니다.;Nuclear disarmament refers to both the act of reducing or eliminating nuclear weapons and to the end state of a nuclear-weapons-free world, in which nuclear weapons are completely eliminated.;;;;;;;;x
recently_attacked_nuke;제2격 기회;Second Strike Opportunity;;;;;;;;x
nukes_used_recently;최근 핵무기 사용;Recently used Nuclear Weapons;;;;;;;;x
nukes_used_recently_desc;다음 핵공격을 감행하려면 시간이 필요합니다.;We need more time before we can launch another nuclear attack.;;;;;;;;x
nuclear_second_strike_high_title;제2격 발사;Launch a Second Strike;;;;;;;;x
nuclear_second_strike_high_desc;상호확증파괴정책을 지키려면 핵무기로 공격받은만큼 보복해야 합니다.;Since we have been attacked with nuclear weapons, we must retaliate to protect the policy of Mutually Assured Destruction.;;;;;;;;x
nuclear_second_strike_medium_title;제2격 발사;Launch a Second Strike;;;;;;;;x
nuclear_second_strike_medium_desc;상호확증파괴정책을 지키려면 핵무기로 공격받은만큼 보복해야 합니다.;Since we have been attacked with nuclear weapons, we must retaliate to protect the policy of Mutually Assured Destruction.;;;;;;;;x
nuclear_second_strike_low_title;제2격 발사;Launch a Second Strike;;;;;;;;x
nuclear_second_strike_low_desc;상호확증파괴정책을 지키려면 핵무기로 공격받은만큼 보복해야 합니다.;Since we have been attacked with nuclear weapons, we must retaliate to protect the policy of Mutually Assured Destruction.;;;;;;;;x
nuclear_cap_high;높은 핵공격능력;Massive Nuclear Attack Capability;;;;;;;;x
nuclear_cap_medium;중간의 핵공격능력;Moderate Nuclear Attack Capability;;;;;;;;x
nuclear_cap_low;빈약한 핵공격능력;Modest Nuclear Attack Capability;;;;;;;;x
nuclear_ultimatum_title;핵공격 최후통첩 전달;Give our enemies the Nuclear Ultimatum;;;;;;;;x
nuclear_ultimatum_desc;적국에게 핵전쟁을 위협해 평화를 요구합니다.;This allows us to demand peace from our enemies with a small risk of Nuclear Armageddon.;;;;;;;;x
reset_bomb_title;핵발사장치 재설정;Reset our Nuclear Delivery Options;;;;;;;;x
reset_bomb_title;핵발사장치 재설정;Reset our Nuclear Delivery Options;;;;;;;;x
reset_bomb_title;핵발사장치 재설정;Reset our Nuclear Delivery Options;;;;;;;;x
reset_bomb_desc;핵발사장치를 재설정합니다. 핵전쟁은 핵무기로 적에게 피해를 입히는 군사적 충돌 및 정치적 전략입니다. 핵전쟁은 재래식 전쟁과 달리 훨씬 짧은 기간 내에 파괴를 일으키며 오래 지속하는 방사능을 이용할 수 있습니다. 핵폭발은 주로 낙진을 통해 장기적인 영향을 미칠 것이며 제1격 이후 수십년, 수세기 또는 심지어 수천년 동안 지속될 "핵 겨울"을 초래합니다.;Reset our Nuclear Delivery Options to create new nuclear delivery layouts. Nuclear warfare is a military conflict or political strategy in which nuclear weaponry is used to inflict damage on the enemy. In contrast to conventional warfare, nuclear warfare can produce destruction in a much shorter time-frame and can have a long lasting radiological warfare dimension. A major nuclear exchange would have long-term effects, primarily from the fallout released, and could also lead to a "nuclear winter" that could last for decades, centuries, or even millennia after the initial attack.;;;;;;;;x
