CODE;ENGLISH;;;;;;;;;;;;;
EVTDESC8008754;이스라엘이 레바논을 침공하고 1982년 베이루트를 포위하자 1983년 5월 17일 레바논과 이스라엘은 협정을 체결했습니다. 이 조약은 베이루트에서 이스라엘 방위군의 철군을 요구했고, 양국 간 정상관계 구축을 위한 틀을 마련했습니다. 레바논은 협상 기간 동안 이스라엘과 시리아의 군사 점령하에 있었습니다.;;;;;;;;;;;;;
EVTDESC8008756;레바논은 레바논의 모든 영토에 대한 주권을 확립할 것을 촉구하고 외세 시리아에게 레바논에서의 철수와 내정간섭 중단을 촉구했습니다. 결의안은 또 레바논인 및 비레바논인 민병대의 해산을 촉구하고 '자유롭고 공정한 선거 절차'를 지지한다고 선언했습니다. 군사 행동이 있은 지 29년만이 2005년 4월 26일, 마지막 시리아군이 레바논을 떠났습니다. 시리아 군사시설 및 정보시설은 민감한 문서를 파쇄되거나 물류 자료를 운송한 후 레바논으로 넘겨졌습니다. 이 조치는 그들이 친시리아적 성향을 가진 팔레스타인 민병대와 헤즈볼라 민병대의 해체를 거부하면서 결의안의 주요 위반사항으로 남았습니다.;;;;;;;;;;;;;
EVTDESC8008757;1999년 5월 이스라엘 선거 전에 에후드 바라크 이스라엘 총리는 1년 안에 모든 이스라엘군이 남레바논에서 철수할 것이며, 남레바논군에 대한 지원을 사실상 중단할 것을 약속했습니다. 시리아의 레바논 지배(2005년까지 지속)로 인해 이스라엘과 레바논 간의 평화협정 체결이 목표였던 이스라엘과 시리아의 협상이 무산되자 바라크는 이스라엘 방위군을 이스라엘 국경으로 철수하기로 결정했습니다. 남레바논군과 남레바논 방위지대의 행정에 대한 엄청난 압박으로 인해 많은 군인과 관료들이 이스라엘과 다른 나라에 정치적 망명을 요청하면서 이들은 붕괴를 시작했습니다. 이스라엘은 2000년 5월 24일 남레바논에서 완전히 철수했습니다.;;;;;;;;;;;;;
EVTDESC8008758;타이프 협정은 '내전 종식 및 레바논 정치의 정상화'에 대한 근거를 제공하기 위해 체결된 합의입니다. 사우디아라비아의 타이프에서 협상된 이 협정은 수십년 동안 이어진 레바논 내전을 종식하고, 시리아의 철군 시기를 정하고 2년 안에 철수하도록 규정했으며 내전을 끝내고 이스라엘이 점령한 남레바논에 레바논의 지배권을 재확보하기 위해 고안됐습니다. 1989년 10월 22일에 체결돼 1989년 11월 5일에 레바논 의회에서 비준을 받았습니다.;;;;;;;;;;;;;
EVTDESC1610054;더 더워진 지구에서 자신들의 미래에 대해 걱정하고, 위기를 저지하 못한 세계 정상들에게 화가 난 많은 젊은이들이 $CAPITAL$ 거리로 쏟아져 나와 기후변화에 대한 조치를 요구했습니다. 시위대는 "당신에게는 미래가 있었으니 우리도 그래야 한다", "지금 우리는 변화를 일으키고 있습니다. 아무도 조치를 취하지 않는다면, 우리가 조치를 취할 것입니다."고 말했습니다. 1인 파업을 통해 범국민적 운동에 불을 지핀 젊은 환경운동가는 시위대에 이렇게 말했습니다. "우리는 안전한 미래를 요구합니다. 그게 정말 무리한 요구인가요?";;;;;;;;;;;;;
colonial_algeria_title;일등국민 프랑스인;;;;;;;;;;;;;
colonial_algeria_desc;알제리가 프랑스의 꼭두각시이므로 프랑스를 주요문화로 지정할 수 있습니다.;;;;;;;;;;;;;
modern_algeria_title;알제리 탈식민화;;;;;;;;;;;;;
modern_algeria_desc;알제리가 이제 프랑스의 꼭두각시가 아니므로 드디어 알제리 국민의 주권 회복을 위해 차별적인 친프랑스 정책을 폐지할 수 있습니다.;;;;;;;;;;;;;
EVTDESC68457;해외에 망명한 한 유명한 반체제 인사가 정부를 맹비난하는 책을 썼습니다. 반체제 인사들은 정부가 독재적이며 국민들을 억압하고 있다고 주장합니다. 정부는 당연히 이러한 노골적인 거짓 주장들을 비난하지만, 이 책이 중요한 국제적 인지도를 얻고 지지를 끌어내기 시작했습니다. 만약 이런 반체제적 생각이 퍼져나간다면 정부는 많은 위신과 국내의 지지를 잃을 것입니다. $MONARCHTITLE$, 권력에 대한 위협을 청산할 때입니다.;;;;;;;;;;;;;
EVTDESC68458;해외에 망명한 $FROMCOUNTRY$의 한 유명한 반체제 인사가 폭탄을 이용해 $CAPITAL$에서 $FROMCOUNTRY$ 첩보원을 암살했습니다. 내각은 이 사건을 주권에 대한 중대한 침해로 간주합니다. $MONARCHTITLE$께서 불법행위에 관해 $FROMCOUNTRY$을(를) 공개적으로 비난해야 한다는 요구가 있지만, 그렇게 한다면 그들과의 관계를 크게 해칠 것입니다. $MONARCHTITLE$, 결정은 당신 몫입니다. 국제법의 원칙을 지킬 수도 있고, 혹은 $FROMCOUNTRY$과(와)의 잠재적인 재앙적 대립을 피하는 실용적인 조치를 취할 수도 있습니다.;;;;;;;;;;;;;
EVTDESC1610051;2016년 12월 9일 자메가 감비아 국영방송에 출연해 '선거 과정에서 심각하고 용납할 수 없는 이상이 발생해 최근 선거 결과를 거부하기로 결정했다'고 발표했습니다. 그러면서 '경건하고 독립적인 선거관리위원회' 아래에서 새로운 선거를 치뤄야 한다고 말했습니다. 이번 발표는 파투마타 얄로탐바장 야당연합 의장이 2017년 1월 정권을 인수하고 1년 안에 자메의 기소를 촉구하고 잠메와 그 가족들에게서 재산 환수를 위한 기관을 설치하겠다고 밝힌 데 따른 것입니다. 감비아 군대는 12월 10일까지 수도 반줄의 요충지에 배치돼 기관총과 모래주머니를 갖춘 진지들을 설치했으나, 정작 검문소에서 시민들을 향해 손을 흔들 뿐이었습니다.;;;;;;;;;;;;;
EVTDESC1610050;1986년 2월 10일부터 1992년 1월 30일까지, 시칠리아 팔레르모에서 시칠리아 마피아에 대한 형사 재판이 열렸습니다. 이 재판은 팔레르모 교도소 안에 있는 특수 제작된 벙커 청사에서 열렸습니다. 시칠리아 검찰은 마피아 활동과 관련된 다수의 범죄로 475명을 기소했는데, 이 명단은 주로 전직 마피아 우두머리와 전향한 정보원들의 증언에 근거했습니다. 대부분은 유죄 판결을 받았고, 338명은 총 2665년의 형을 선고받았습니다. 1992년 1월 최종상고심에서 이탈리아 대법원은 19명의 우두머리에게 선고된 종신형을 제외하고는 이 유죄 판결을 유지했습니다.;;;;;;;;;;;;;
EVTDESC1610049;최근 불만도가 5 이상으로 상승하는 등 정부의 인기가 바닥을 치고 있습니다. 이로 인해 현재 $MONARCHTITLE$에 대해 여당 내의 반대 또한 커지고 있습니다. 오늘 한 반체제 단체 대표가 $MONARCITLE$의 퇴진을 요구하는 서한을 $MONARCHTITLE$의 사무실로 발송했습니다. 만약 수용한다면 현 대표가 퇴임하고 새로운 지도자를 뽑는 당대회가 열립니다. 만약 거절한다면, $MONARCHTITLE$에 화가 난 사람들이 정변을 선동할 수 있습니다.;;;;;;;;;;;;;
EVTDESC1610048;여당의 지배구조나 여론조사 결과의 악화에 대한 이견으로 인해, $MONARCHTITLE$ 지도부의 저명한 내각 비평가들이 이끄는 영향력 있는 의회의원 모임이 $MONARCHITLE$의 사퇴를 촉구하는 공개 서한을 발표했습니다. 만약 수용한다면 현 대표가 퇴임하고 새로운 대표를 뽑는 전당대회를 치룹니다. 만약 거부한다면, 다음 선거에서 질 수도 있습니다.;;;;;;;;;;;;;
EVTDESC1610045;경쟁 초강대국과의 세계 지배를 확립하기 위해 벌인 전쟁에서 승리한 이후, $COUNTRY$은(는) 의기양양한 상태입니다. 우리가 거둔 승리는 경쟁 초강대국에게 대륙의 영향권 중 하나의 포기를 요구할 수 있게 했습니다. 이 결정은 그들의 영향권에 속하는 모든 독립국에서 패배한 초강대국의 모든 영향력을 제거하고, 우리나라에게 그 국가들에 대한 외교점을 100 줄 것입니다.;;;;;;;;;;;;;
EVTDESC1610046;최근 세계 패권을 확립하기 위한 두 초강대국간의 전쟁이 한 초강대국의 패배를 초래했습니다. 그 결과 승리한 초강대국이 지정한 대륙의 국가들이 패배한 강대국의 영향권을 떠나버렸습니다. 승전국은 $COUNTRY$에서도 영향력을 100 획득합니다.;;;;;;;;;;;;;
EVTDESC1610047;경쟁 초강대국이 세계 지배를 확립하기 위해 벌인 전쟁에서 패배했습니다. 그 결과 그들이 지정한 대륙의 국가들이 우리 영향권을 떠나버렸습니다. 이 결정은 우리의 영향권에 속하는 모든 독립국에서 $COUNTRY$의 모든 영향력을 제거하고, 승리한 초강대국에게 그 국가들에 대한 외교점을 100 줄 것입니다.;;;;;;;;;;;;;
EVTDESC1610044;외무부 장관이 외국의 내정간섭도가 무시해도 될 정도로 감소했다고 보고해왔습니다. 장관은 이러한 변화가 지구촌 자체 혹은 지구촌 정치의 변화 때문이라고 생각합니다. 옛 영향권 맹주 여당의 이념은 이제 25퍼센트의 추가 지지를 받지 못할 것입니다.;;;;;;;;;;;;;
EVTDESC1610042;옛 영향권 맹주에서 근무하는 우리 대사가 그들이 국내 정치에 간섭한다는 다소 불안한 보고서를 보냈습니다. 이는 옛 영향권 맹주 여당의 이념이 이제 25퍼센트의 추가 지지를 받는다는 뜻입니다. 이는 걱정스러운 소식이며, 따라서 외국의 영향력에 대항하려면 더 열심히 일해야 할 것입니다.;;;;;;;;;;;;;
sphere_interference;영향권 국가에 대한 내정간섭;;;;;;;;;;;;;
promote_ideology_in_sphere_title;영향권 국가에 대한 여당 이념 장려;;;;;;;;;;;;;
promote_ideology_in_sphere_desc;이 결정은 $COUNTRY$의 영향권에 속하는 모든 국가에서 $COUNTRY$의 여당 이념에 대한 지원을 시작합니다. 만약 이 결정을 시행한다면 민족주의나 대중주의적 여당이 집권한 국가들이 부정적인 반응을 보일 것이고 우리 영향권을 떠날 것입니다.;;;;;;;;;;;;;
stop_promote_ideology_in_sphere_title;영향권 국가에 대한 여당 이념 장려 중단;;;;;;;;;;;;;
stop_promote_ideology_in_sphere_desc;이 결정은 $COUNTRY$의 영향권에 속하는 모든 국가에서 $COUNTRY$의 여당 이념에 대한 지원을 종료합니다. 만약 이 결정을 시행한다면 민족주의나 대중주의적 여당이 집권한 국가들이 부정적인 반응을 보일 것이고 우리 영향권을 떠날 것입니다.;;;;;;;;;;;;;
taxhigh;전시세 많음;;;;;;;;;;;;;
taxmedium;전시세 중간;;;;;;;;;;;;;
taxlow;전시세 적음;;;;;;;;;;;;;
taxno;전시세 없음;;;;;;;;;;;;;
taxhigh_title;많은 수준의 전시세 시행;;;;;;;;;;;;;
taxmedium_title;중간 수준의 전시세 시행;;;;;;;;;;;;;
taxlow_title;적은 수준의 전시세 시행;;;;;;;;;;;;;
taxno_title;전시세 폐지;;;;;;;;;;;;;
changetax_title;전시세율 개정;;;;;;;;;;;;;
taxhigh_desc;지금 많은 돈을 소비하는 전시 상태입니다. 파산을 피하려면 전시세를 많음으로 설정해야 합니다.\n\n[SUB_A7]Y해당 수준에서의 변동사항:[SUB_A7]W\n[SUB_A7]R월간 염전도: 3[SUB_A7]W\n[SUB_A7]G세금 효율: +10퍼센트[SUB_A7]W;;;;;;;;;;;;;
taxmedium_desc;지금 많은 돈을 소비하는 전시 상태입니다. 파산을 피하려면 전시세를 중간으로 설정해야 합니다.\n\n[SUB_A7]Y해당 수준에서의 변동사항:[[SUB_A7]W\n[SUB_A7]R월간 염전도: 2[SUB_A7]W\n[SUB_A7]G세금 효율: +5퍼센트[SUB_A7]W;;;;;;;;;;;;;
taxlow_desc;지금 많은 돈을 소비하는 전시 상태입니다. 파산을 피하려면 전시세를 적음으로 설정해야 합니다.\n\n[SUB_A7]Y해당 수준에서의 변동사항:[[SUB_A7]W\n[SUB_A7]R월간 염전도: 1[SUB_A7]W\n[SUB_A7]G세금 효율: +2.5퍼센트[SUB_A7]W;;;;;;;;;;;;;
taxno_desc;지금 많은 돈을 소비하는 전시 상태이나 쌓아둔 돈이 많습니다. 전시세를 제정해서 과도한 염전도를 조성해서는 안 됩니다.\n\n[SUB_A7]YThe modifiers for this level are:[SUB_A7]W\n[SUB_A7]GMonthly War Exhaustion: -1[SUB_A7]W;;;;;;;;;;;;;
changetax_desc;전쟁은 싸지 않으며, 오래 끌면 매우 비싸질 수 있습니다. 다만 이 위기로 인해 $MONARCHTITLE$께 전시 동안 예외적인 세금을 부과할 수 있는 권리가 주어졌습니다. 필요하다면 재정 장부의 균형을 위해 이 힘을 발휘해야 합니다.;;;;;;;;;;;;;
defcon5_decision_title;전투준비태세 5;;;;;;;;;;;;;
defcon5_decision_desc;가장 낮은 준비태세이자 평범한 준비태세입니다.;;;;;;;;;;;;;
defcon4_decision_title;전투준비태세 4;;;;;;;;;;;;;
defcon4_decision_desc;정보요원들의 감시와 보안 조치가 강해지며, 평범한 준비태세 이상입니다.;;;;;;;;;;;;;
defcon3_decision_title;전투준비태세 3;;;;;;;;;;;;;
defcon3_decision_desc;평시보다 병력 준비태세를 강화하며 공군은 15분 안에 출동할 수 있습니다.;;;;;;;;;;;;;
defcon2_decision_title;전투준비태세 2;;;;;;;;;;;;;
defcon2_decision_desc;핵전쟁을 위한 다음 단계로서 국군은 약 6시간 안에 실전배치 준비를 마칩니다.;;;;;;;;;;;;;
defcon1_decision_title;전투준비태세 1;;;;;;;;;;;;;
defcon1_decision_desc;핵전쟁이 임박했습니다. 최대한의 준비를 마칩니다.;;;;;;;;;;;;;
EVTDESC8002017;페르난두 엔히키 카르도주는 1993년 5월부터 1994년 4월까지 재무장관을 역임했으며, 1994년 4월 사임 후 대통령 선거운동을 시작했습니다. 10월 3일 선거에서는 1차 투표에서 가장 격차가 적은 상대인 루이스 이나시우 룰라 다 시우바의 2배가 넘는 54퍼센트의 득표율로 대통령에 당선됐습니다. 이는 브라질 역사상 자유선거에서 기록한 역대 최다 득표율입니다. 대통령이 직접 승계할 수 있도록 헌법이 개정된 뒤의 1998년 선거에서는 룰라를 31.7퍼센트 대 53퍼센트로 꺾고 쉽게 연임에 성공했습니다. 현재까지 국민투표에서 노골적인 과반을 얻은 유일한 대통령이고, 동시에 보통선거가 부활한 1989년 이후 결선투표 없이 당선된 유일한 대통령입니다.;;;;;;;;;;;;;
EVTDESC8002018;룰라라는 별칭으로 불리는 루이스 이나시우 룰라 다 시우바는 브라질의 노조위원장 출신 정치인으로, 2003년 1월 1일부터 2010년 12월 31일까지 제35대 브라질 대통령으로 재임했습니다. 룰라는 노동당 창당을 주도했으며, 세번의 대통령 선거에서 패한 후 2002년과 2006년 선거에서 승리해 재선에 성공했습니다. 룰라는 브라질 역사상 가장 인기 있는 정치인으로 불렸고, 재임 기간 동안 세계적으로도 유명한 정치인이었습니다.;;;;;;;;;;;;;
EVTDESC8002019;2010년 6월 13일, 2년 넘게 광범위한 추측이 이어지던 끝에 호세프가 2010년 대선에서 노동당 공식 대통령 후보로 선거운동을 시작했습니다. 당시 중도우파 야당 후보인 조제 세하 전 상파울루주 주지사는 2년 넘게 여론조사에서 1위를 지켰으나, 호세프는 룰라의 인기정책을 유지하겠다는 약속을 통해 7월 말에 모든 여론조사에서 세하를 추월하는데 성공했습니다. 다만 호세프는 세하를 크게 앞섰음에도 1차 투표에서 유효표의 50퍼센트를 넘지 못했고, 결국 10월 31일에 결선 투표를 치뤄야 했습니다. 결선 투표의 결과는 유효표를 56퍼센트 확보한 호세프의 승리였습니다.;;;;;;;;;;;;;
EVTDESC8002020;2015년 12월 2일 에두아르두 쿠냐 하원의장이 탄핵 청원을 받아들이면서 브라질 제36대 대통령 지우마 호세프의 탄핵이 시작됐습니다. 당시 호세프는 4년의 두번째 임기가 1년 이상 지난 시점에 형사행정권위반과 브라질 헌법 제5조 및 제6항과 재정책임법 제36조를 위반해 연방예산 무시 등의 혐의로 기소됐습니다. 호세프는 2016년 4월 17일에 정식으로 탄핵을 당했습니다. 5월 12일, 상원은 재판 기간 동안 호세프의 권한을 정지하는 법안을 가결했고, 미셰우 테메르 부통령이 대통령 권한대행을 맡았습니다.;;;;;;;;;;;;;
EVTDESC8002021;2016년 3월 보우소나루는 사회기독당 소속으로 대통령 선거 예비후보직을 선언했습니다. 하지만 2018년 탈당해 사회자유당에 입당한 뒤 같은 해 8월 은퇴한 아미우통 모라우 장군을 부통령 후보로 내세워 대통령 선거 행보에 나섰습니다. 그는 자신을 외부자이자 전통적 가족관의 지원자로 묘사했습니다. 그러던 중 2018년 9월 유세 도중 칼에 찔리기도 하나, 생명에 큰 지장은 없었습니다. 그는 2018년 10월 7일 1차 투표에서 1위를 차지했고, 페르난두 아다드 노동당 후보가 2위를 차지했습니다. 두 후보는 2018년 10월 28일 결선투표를 치렀고, 보우소나루는 55.1퍼센트의 득표율로 당선됐습니다.;;;;;;;;;;;;;
modern_uae_title;아랍에미리트 결성;;;;;;;;;;;;;
modern_uae_desc;1819년 영국과의 항구적 해양평화조약(1853년, 1892년에 다시 비준)은 휴전오만을 영국의 보호국으로 만들었습니다. 이후 조약에서 규정한 영국의 의무가 끝난 직후인 1971년 12월 2일 휴전오만은 독립 후 아랍에미리트를 설립했습니다.;;;;;;;;;;;;;
united_ummah_title;아랍 공동체 결성;;;;;;;;;;;;;
united_ummah_desc;움마(Ummah)는 '공동체'를 뜻하는 아랍어로, 공통의 조상이나 지리를 가진 국가를 의미하는 샤브(Sha'b)와 구별됩니다. 따라서 움마는 공통의 역사를 가진 초국가적 공동체라고 말할 수 있습니다. 움마는 '이슬람 공동체'의 동의어이기도 하며, 이슬람인들의 집단공동체를 뜻하는 말로 통용됩니다. 쿠란(이슬람 경전)에서 움마는 일반적으로 공통의 종교적 신념, 특히 구원에 대한 신성한 계획의 대상인 단일집단을 말합니다.;;;;;;;;;;;;;
enlarge_ummah_title;아랍 공동체 확장;;;;;;;;;;;;;
united_ummah_desc;움마(Ummah)는 '공동체'를 뜻하는 아랍어로, 공통의 조상이나 지리를 가진 국가를 의미하는 샤브(Sha'b)와 구별됩니다. 따라서 움마는 공통의 역사를 가진 초국가적 공동체라고 말할 수 있습니다. 움마는 '이슬람 공동체'의 동의어이기도 하며, 이슬람인들의 집단공동체를 뜻하는 말로 통용됩니다. 쿠란(이슬람 경전)에서 움마는 일반적으로 공통의 종교적 신념, 특히 구원에 대한 신성한 계획의 대상인 단일집단을 말합니다.;;;;;;;;;;;;;
arab_national_identity;아랍 민족 정체성;;;;;;;;;;;;;
pan_arab_identity;범아랍 정체성;;;;;;;;;;;;;
arab_cultural_identity;아랍 문화적 정체성;;;;;;;;;;;;;
arab_national_identity_title;민족 정체성 수용;;;;;;;;;;;;;
arab_national_identity_desc;새로운 민족주의와 낡은 민족주의라는 개념은 민족주의, 국민민족국가주의, 국민정치민족주의 사이의 갈등을 드러내기 위한 분석에 쓰입니다. 이 두 민족주의적 갈등 양상은 이 지역을 황폐화한 후 오늘날에도 아랍 세계에 영향을 끼친 위기를 강조합니다. 새로운 시민국가의 정체성을 주장하기 위한 정치투쟁을 억압하는 것은 본래의 민족 정체성과 충돌하는 것으로 전해졌습니다.;;;;;;;;;;;;;
western_defence_union_title;유럽 연합 방위조약 갱신;;;;;;;;;;;;;
western_defence_union_desc;서유럽 연합은 브뤼셀 조약(1948)의 1954년 개정 이후 브뤼셀 조약기구를 계승한 국제기구이자 군사동맹입니다. 서유럽 연합은 브뤼셀 조약 수정판을 이행했습니다. 냉전 기간 동안, 서구권은 서유럽 연합 회원국들과 미국을 북대서양조약기구의 일부로 포함시켰습니다. 냉전 종식 후인 21세기로 넘어가는 시기에, 서유럽 연합의 과제와 제도는 점차 유럽 연합으로 옮겨가 유럽 연합의 새로운 군사 요소인 유럽 공동안보 및 국방 정책의 중심축을 제공하게 되었습니다. 이 과정은 2009년 서유럽 연합의 상호방위조항과 유사(그러나 동일하지는 않음)한 유럽연합 회원국 간의 연대조항이 리스본 조약과 함께 발효되면서 만료됐습니다.;;;;;;;;;;;;;
man_in_orbit;우주비행사;;;;;;;;;;;;;
man_in_orbit_desc;우주비행사는 우주선의 지휘, 조종 또는 우주선 승무원으로의 활동을 위해 인류우주비행계획을 훈련받은 사람입니다. 일반적으로 전문 우주여행객을 위한 용어이나, 과학자, 정치인, 언론인, 관광객을 포함해 우주를 여행하는 모든 사람에게 쓰이기도 합니다.;;;;;;;;;;;;;
restore_austrian_monarchy_title;합스부르크 제정복고;;;;;;;;;;;;;
restore_austrian_monarchy_desc;수백년간 오스트리아를 다스렸던 합스부르크 왕가는 1918년 혁명으로 인해 권좌에서 축출당했습니다. 그 후 오스트리아는 연약한 공화국 정부의 지배를 받았고, 얼마 가지 못하고 독일에 합병당했습니다. 이제 이런 일이 다시 일어나서는 안 됩니다. 그렇기 위해서는 절대 정부에게 끌려다니지 않을 강력한 지도자가 필요합니다. 합스부르크 가문을 다시 불러들여야 합니다;;;;;;;;;;;;;
EVTDESC122000;경제부 장관이 여당의 주장과 $MONARCHITLE$께서 채택한 정책 간의 불균형을 이유로 사임했습니다. 이 사건은 국내 평균 불만도가 2보다 높고, 정부의 경제정책이 여당과 단절된 상태이거나 실업률이 10퍼센트보다 높고 아래 요인 중 하나를 충족할 경우 발생합니다. 방임주의: 상류층 세금 20퍼센트 이상 또은 중류층 세금 30퍼센트 이상 또는 하류층 세금 40퍼센트 이상 또은 사회보장비 40퍼센트 이상. 간섭주의: 상류층: 30퍼센트 이상 또는 중류층 세금 40퍼센트 이상 또는 하류층 세금 50퍼센트 이상 또는 사회보장비 40퍼센트 이하. 국가자본주의: 상류층 세금 30퍼센트 이하 또는 사회보장비 75퍼센트 이하. 계획경제(둘 다 해당): 상류층 세금 20퍼센트 이하 또는 사회보장비 90퍼센트 이하.;;;;;;;;;;;;;
EVTDESC122001;국방부 장관이 여당의 주장과 $MONARCHITLE$께서 채택한 정책 간의 불균형을 이유로 사임했습니다. 이 사건은 국내 평균 불만도가 2보다 높고, 정부의 대외정책이 여당과 단절된 상태이고 아래 요인 중 하나를 충족할 경우 발생합니다. 주전주의: 군비 75퍼센트 이하. 찬전주의: 군비 50퍼센트 이하. 평화주의: 군비 75퍼센트 이상.;;;;;;;;;;;;;
EVTDESC122002;외교부 장관이 여당의 주장과 $MONARCHITLE$께서 채택한 정책 간의 불균형을 이유로 사임했습니다. 이 사건은 국내 평균 불만도가 3보다 높고, 정부의 대외정책이 여당과 단절된 상태이고 아래 요인 중 하나를 충족할 경우 발생합니다. 주전주의: 악명 20 이상. 찬전주의: 악명 15 이상. 평화주의: 악명 10 이상.;;;;;;;;;;;;;
EVTDESC122003;국무부 장관이 국내 불안정한 도시들의 처리에 대한 $MONARCHITLE$의 부실한 지도력을 이유로 사임했습니다. 그는 자신의 유일한 명예로운 행동의 방침이 사퇴일 정도로 정부가 상황을 호전시킬 수 있을지를 자신할 수 없다고 밝혔습니다. 그러나 정치평론가들은 그의 사임이 정의를 위함이라기보다는 그러한 불안을 막을 책임이 있는 장관으로서의 자신의 평판을 살리기 위함이라고 지적해왔습니다. 이 사건은 국내 평균 불만도가 4보다 높으면 발생합니다.;;;;;;;;;;;;;
EVTDESC1610039;한 기사가 내각 각료가 주요 정부 주도 사업에서 부자 억만장자의 자금을 사용하기 위해 음습한 거래에 참여했다는 사실을 폭로했습니다. 이 폭로는 틀림없이 국민들을 뒤흔들테고, 정부의 부패와 그 정치인의 사퇴에 대한 조사를 요구하는 목소리가 나타날 것입니다. 이 사건을 은폐하고 더 큰 정치추문으로 덮을 수도 있으며, 유권자 사이에서의 인기 감소를 감수하고 실수를 인정하고 부패한 정치인을 해고할 수도 있습니다. 국민은 $MONARCHITLE$께서 지금의 위기 상황에 대해 최선의 행동 방침을 결정하기를 바랍니다.;;;;;;;;;;;;;
protect_czechoslovakia_title;체코슬로바키아 통합;;;;;;;;;;;;;
protect_czechoslovakia_desc;체코슬로비키아는 한때 오스트리아-헝가리의 일부였고, 다시 그래야만 합니다. 체코 정부가 소련의 지배로부터 스스로를 지켜줄 강력한 연방 구성을 위해 통합 제안에 관심을 가질지도 모릅니다. 만약 이 결정을 내리기로 결정한다면, 성공할 확률은 80퍼센트입니다. 또한 이 결정을 내릴 수 있는 시기는 냉전 기간 동안 뿐입니다.;;;;;;;;;;;;;
EVTDESC132400;적군이 우리를 우리 뜻대로 내버려두지 않으리라는 것이 점점 분명해지고 있습니다. 정변은 불가피한 것 같습니다. 헝가리가 소련에게서 스스로를 보호하기 위해 연대를 요청했습니다. 이에 참여한다면 복원된 제국 내의 특권을 대가로 자주권을 잃을 것입니다. 이를 행동에 옮기면 소련 측의 정변 가능성을 막겠지만, 러시아는 이 움직임에 호의적이지 않을 테며 분명 군사적으로 개입할 것입니다.;;;;;;;;;;;;;
EVTDESC132401;체코슬로바키아가 분명한 최선의 선택으로 보호에 대한 제안을 받아들였습니다. 과거 영토 수복에 한발짝 더 다가섰습니다.;;;;;;;;;;;;;
EVTDESC132402;체코슬로바키아가 어리석게도 보호 제안을 거절했습니다. 여전히 체코슬로바키아에 대한 권리를 주장할 수 있지만, 국제사회는 이를 인정하지 않을 것이며, 동시에 현지인들의 원한을 얻을 것입니다.;;;;;;;;;;;;;
EVTDESC1610038;리크루트 사건은 1988년 일본의 저명한 정치인들을 사임하게 만든 부패사건입니다. 이 거래에 관여한 의원은 17명에 불과했지만, 이후 30명이 추가로 리크루트사 측에게서 특혜를 받은 것으로 드러났습니다. 이 사건에 연루된 정치인으로는 국무총리와 전직 총리, 국무조정실장 등이 포함됐습니다. 자유민주당 정부 인사 외에도 공명당, 민주당, 일본사회당 지도부가 연루된 것으로 드러났습니다. 관련자의 소속 정당이 여야를 가리지 않았음에도 자유민주당은 이 사건으로 가장 큰 상처를 입었습니다. 이후 이 사건은 1993년 호소카와 모리히로의 야당이 승리한 주요 원인으로 꼽힙니다.;;;;;;;;;;;;;
EVTDESC68456;한 강대국 대사가 흥미로운 제안-주요 쟁점에 대해 외교적인 지원을 받는 대가로 우리나라의 주요 정치적 경쟁자에 관해 최근에 발굴된 문제에 대해 외교적 지원을 제공-을 가지고 우리 정부에 접근했습니다. 이 제안을 받아들인다면 어느 정도 위신이 깎일 것이나 여당의 지지는 10퍼센트 오를 것입니다. 만약 MONARCHTITLE께서 비양심적인 국가원수라면 이 거래가 좋은 거래겠지만, 그것은 여당에 대한 추문을 일으킬 가능성이 조금 있는 것이 사실입니다.;;;;;;;;;;;;;
the_socialist_manifesto_title;사회주의적 성명서 발표;;;;;;;;;;;;;
the_socialist_manifesto_desc;국민들은 더 나은 내일, 즉 무상의료 및 무상교육과 사회보장을 보장받고 공정한 보수를 지급받는 내일을 갈망합니다. 현재 정부는 이 요구를 지키기에 적합한 위치에 있으며, 현실사회주의 국가의 관리자로서의 의무이기도 합니다. 비용은 많이 들겠지만, 국민들이 $MONARCHITLE$을(를) 지원해야 할 훨씬 더 큰 이유가 있을 때 그들의 미소를 보는 것은 가치 있는 일입니다.;;;;;;;;;;;;;
the_conservative_manifesto_title;보수주의적 성명서 발표;;;;;;;;;;;;;
the_conservative_manifesto_desc;욕구는 무한하지만 자원은 부족합니다. 더는 큰 정부가 엄청난 비용을 감당하도록 내버려둘 수 없습니다. 우리는 사회주의 국가가 아니며, 큰 정부를 추구하는 사회주의 국가는 정부 부채의 급증과 낮은 생산성으로 이어지므로 사회주의 국가를 열망해서는 안 됩니다. 우리나라에 필요한 것은 작고 효율적인 정부입니다. 만약 정부가 사회복지사업에서 자유시장적 이상을 채택한다면, 부채를 확실히 줄일 수 있을 것입니다.;;;;;;;;;;;;;
EVTDESC1412151;'불안정한/평화로운 지방' 변동사항은 지역의 조건이 현지의 사회/정치/경제적 생산량에 미치는 영향을 모의적으로 보여주려고 합니다. 이 사건은 이 지역이 핵무기를 맞았는지, 교전 중인 국가나 반군이 점유한 지역과 인접하는지, 불만도가 높은지, 소유국의 적국이나 반군이 점유했는지의 여부를 확인할 것입니다. 이 사건은 전시나 반군이 봉기 중인 때를 제외하면 대략 5년마다 일어납니다.;;;;;;;;;;;;;
region_timer;지역 계산기;;;;;;;;;;;;;
region_timer_desc;이 장치는 지역 점검 사건이 과도하게 발생하지 않도록 합니다.;;;;;;;;;;;;;
